Text,C_Text,label
"Iss Dil Ki Daastaan Bhi Badi Ajeeb Hoti Hai,
Badi Mushkil Se Ise Khushi Naseeb Hoti Hai....
Kisi Ke Paas Aane Par Khushi Ho Na Ho,
Par Door Jaane Par Badi Takleef Hoti Hai.",iss dil daastaan badi ajeeb hoti badi mushkil ise khushi naseeb hoti kisi ke paas aane khushi door jaane badi takleef hoti,3
Mijhe aaj bahut gussa aa raha hai,mijhe aaj bahut gussa aa,2
Vishal ko dekhke gussa aaraha hai,vishal dekhke gussa aaraha,2
"*Gusse wali*

Inn didiyo ka gussa to asman me
hi rahta hai agr koi purpose kr de to
Bolti hai

""kyu be sale mere pass or koi kam
Chanda nhi hai jo tere jese chutiye se set hongi ab""",gusse wali inn didiyo gussa asman me rahta agr purpose bolti kyu be sale mere pass or kam chanda nhi tere jese chutiye set hongi,2
Yeh finale ki khushi mein maine Chinese order karliya😭😭🤲,finale khushi mein maine chinese order karliya,2
Qalanders kee jeet ke khushi main savour banta jai ga …,qalanders kee jeet ke khushi savour banta jai,3
"Meri duniya hai tujhme kahin
Tere bin main kya kuchh bhi nahin

BELOVED WINNERS TEJRAN",meri duniya tujhme kahin tere bin kuchh nahin beloved winners tejran,1
"Meri duniya hai tujhme kahin
Tere bin main kya kuchh bhi nahin
Meri jaan mein teri jaan hai o sathi mere

BELOVED WINNERS TEJRAN",meri duniya tujhme kahin tere bin kuchh nahin meri jaan mein teri jaan o sathi mere beloved winners tejran,1
"Pass hain phir bhi paas nahi
Humko yeh gum raas nahi
Seeshe ki ek diware hai jaise darmiya

BELOVED WINNERS TEJRAN",pass phir paas nahi humko gum raas nahi seeshe ek diware jaise darmiya beloved winners tejran,1
"Karte to hai saath safar
Faasle hain phir bhi magar
Jaise milte nahi kisi dariya ke do kinare

BELOVED WINNERS TEJRAN",karte saath safar faasle phir magar jaise milte nahi kisi dariya ke do kinare beloved winners tejran,0
"Kaise kahen kya hai sitam
Sochte hai ab yeh hum
Koi kaise kahen woh hai ya nahi humare

BELOVED WINNERS TEJRAN",kaise kahen sitam sochte kaise kahen nahi humare beloved winners tejran,1
"Sare sehmein nazare hain
Soye soye vaqt ke dhare hain
Aur dil mein koi khoye si baatein hain

BELOVED WINNERS TEJRAN",sare sehmein nazare soye soye vaqt ke dhare dil mein khoye si baatein beloved winners tejran,1
"Phool se khusboo khafa khafa hai gulshan mein
Chupa hai koi ranj fiza ki chilman mein

BELOVED WINNERS TEJRAN",phool khusboo khafa khafa gulshan mein chupa ranj fiza chilman mein beloved winners tejran,1
"Kehne ko Jashn-e-bahara hai
Ishq yeh dekhke hairaan hai

BELOVED WINNERS TEJRAN",kehne jashn e bahara ishq dekhke hairaan beloved winners tejran,1
"Har sama roshan
Kar de teri maujoodgi se
Keemti yeh pal
Jee le inhe Meraki se

BELOVED WINNERS TEJRAN",har sama roshan teri maujoodgi keemti pal jee inhe meraki beloved winners tejran,1
"Jinme khojte
Khushi unmein nahi milti
Milti hai khudke hi dil ke geheraiyon mein

BELOVED WINNERS TEJRAN",jinme khojte khushi unmein nahi milti milti khudke dil ke geheraiyon mein beloved winners tejran,1
"Agar mere maafi mangne se tumhe khushi milti hai na toh.... 
Theek hai yaar tum dukhi hi maro 🙂",agar mere maafi mangne tumhe khushi milti toh theek yaar tum dukhi maro,3
"""Sabse jyada gussa khud par tab
aata hai,

Jab pyaar v hum kare, intezaar v hum kare,jataye v hum or roye v hum""..💯🤍",sabse jyada gussa khud tab aata jab pyaar v kare intezaar v kare jataye v or roye v,2
"Doob Doob ke
Mai jaun yeh jahan ko chor ke
Tair Tair ke
Mai pohochun kinaron pe aise

BELOVED WINNERS TEJRAN",doob doob ke mai jaun jahan chor ke tair tair ke mai pohochun kinaron aise beloved winners tejran,1
"Teri Baati Saari Raatein
Yaad Aati Hai Kyu? Mujhe
Kaise Kahu Kahi ROh!ne Lage
Mere Dil Bin Tere

BELOVED WINNERS TEJRAN",teri baati saari raatein yaad aati kyu mujhe kaise kahu kahi roh lage mere dil bin tere beloved winners tejran,1
"Ab To Zara Mere Pass Aao Na
Hoke Juda Tum Yu Satao Na
Ab To Zara Mere Pass Aao Na
Kar Raha Hoo Tera Intezaar

BELOVED WINNERS TEJRAN",zara mere pass aao hoke juda tum yu satao zara mere pass aao hoo tera intezaar beloved winners tejran,1
"Aise Kyu Huye Hai Fasle
Dur Tum Kyu Ho Gaye
Jab Kareeb Hum The Kabhi
Mila Saki Na Tu Nazar

BELOVED WINNERS TEJRAN",aise kyu huye fasle dur tum kyu gaye jab kareeb the kabhi mila saki nazar beloved winners tejran,2
"Mujko Pata Naa Chala
Yeh Aisa Kyun Hua
Kar Raha Tera Intezaar

BELOVED WINNERS TEJRAN",mujko pata naa chala aisa kyun hua tera intezaar beloved winners tejran,1
"Jo log khushi wale din bhi udass hote hain 
Khuda unki udassi ko khushi main badle
Ameen",log khushi wale din udass hote khuda unki udassi khushi badle ameen,4
"Ho Na Ho Aaj Kuch Mera Zikr Huzoor Mein Hua
Warna Meri Taraf Khushi Dekh Ke Muskuraayi Kyun",aaj mera zikr huzoor mein hua warna meri taraf khushi dekh ke muskuraayi kyun,3
"Koi bhi Jitee  dono m se pr TEJRAN fam ki khushi dono ko TOP2 m dekhna haii bss ussiii m khush hogi famm 

BELOVED WINNERS TEJRAN",jitee m pr tejran fam khushi top m dekhna haii bss ussiii m khush hogi famm beloved winners tejran,0
Kis Khushi Men ?,khushi men,3
"Tu Kush Hai to lage ki jahan mein chai hai khushi.. 

BELOVED WINNERS TEJRAN",kush lage jahan mein chai khushi beloved winners tejran,1
"Tu Kush Hai to lage ki jahan mein chai hai khushi.. 

BELOVED WINNERS TEJRAN",kush lage jahan mein chai khushi beloved winners tejran,1
Bahut hoo gaye khushi ke lamhe now can we skip to the dukh part,bahut hoo gaye khushi ke lamhe now can we skip the dukh part,3
"Tu Kush Hai to lage ki jahan mein chai hai khushi.. 

BELOVED WINNERS TEJRAN",kush lage jahan mein chai khushi beloved winners tejran,1
"Jo log khushi wale din 
bhi udass hote hain 
Khuda unki udassi ko 
khushi main badle AMEEN ❤️",log khushi wale din udass hote khuda unki udassi khushi badle ameen,4
"Khushi se dil khatara oops sorry sharara sharara hogaya!!

VIJAYI BHAVA TEJASSWI",khushi dil khatara oops sorry sharara sharara hogaya vijayi bhava tejasswi,3
"Aunty ke jaane ki itni khushi hai ki khushi ke aansun aa rahe hain 
 
BELOVED WINNERS TEJRAN",aunty ke jaane itni khushi khushi ke aansun aa rahe beloved winners tejran,1
zyada drama nahi hua i am crying khushi ke aansoo,zyada drama nahi hua i am crying khushi ke aansoo,3
"Jab se tum ho mile, jaan o dil hain khile
Tumse baa basta hai, har khushi
BELOVED WINNERS TEJRAN",jab tum mile jaan o dil khile tumse baa basta har khushi beloved winners tejran,1
Jis ki tweet mujhy gussa dilati hai oski jaga mute main hai😒,jis tweet mujhy gussa dilati oski jaga mute,2
Dost wo hai jo aapky sth bethy hon tou aap khush hon...baat chahy na bhi ho rhi ho mgr khushi ho keh dost sath hai 💕,dost aapky sth bethy hon aap khush hon baat chahy rhi mgr khushi keh dost sath,3
"kisi ke sath bitaya ek chota sa pal bhi chehre par khushi le aata
aur woh kisi aap ho",kisi ke sath bitaya ek chota sa pal chehre khushi aata kisi aap,0
"Be shak mere mobile ki memory hamesha full rehti hai 
Mager main delete nahi kr sakta
 kiyun ke 
Us main kuch tasveerain aur videos aise bhi han
 jinko dekhne kr
 mera depression ekdam se
 khushi main badal jata hai",be shak mere mobile memory hamesha full rehti mager delete nahi sakta kiyun ke tasveerain videos aise jinko dekhne mera depression ekdam khushi badal,3
"Ab khushi de ke azmaa le khuda!
in ghamon se tou main nahi marta 🌚",khushi ke azmaa khuda in ghamon nahi marta,3
"Aag mai ghee dalna 

“Papa ke gussa hone par unke aage phone chalana”",aag mai ghee dalna papa ke gussa hone unke aage phone chalana,2
Kahe gussa ho bhai,kahe gussa bhai,2
"Ek pal maut ek pal zindagi
Ek pal gham ek pal ki khushi 🙃",ek pal maut ek pal zindagi ek pal gham ek pal khushi,2
Porane dosto ko vas me kar ne ka koy idea hai to dm karna 2-4 logo ko karna hai..😂,porane dosto vas me koy idea dm logo,3
"Someone: Bhul gye na mujhe ? 

Me: Yaha password yaad nhi hai tumhe kis khushi me yaad karu..!!😂",someone bhul gye mujhe me yaha password yaad nhi tumhe khushi me yaad karu,3
"na aane ki khushi!
na jaane ka gumm!
  myadityanath CM up",aane khushi jaane gumm myadityanath cm up,3
parcel ke ane se khushi automatically ajate hai,parcel ke ane khushi automatically ajate,3
"Pakistan mein shaadi Pasand ki ho to 3 bacche 👨‍👩‍👧
pasand ki na ho to 8 yah 9 bacche yah gussa nikalte Hain yah Pyar Karte Hain🤔🤔😂😂🤣🤣",pakistan mein shaadi pasand bacche pasand yah bacche yah gussa nikalte yah pyar karte,2
nazar na lage inki khushi ko,nazar lage inki khushi,3
"Kisi ne pucha gussa Kya hy?

BEST REPLY!

Kisi ki ghalti ki saza khud ko dena...!",kisi pucha gussa best reply kisi ghalti saza khud dena,0
"Jo log khushi wale din 
bhi udass hote hain 
Khuda unki udassi ko 
khushi main badle
Ameen",log khushi wale din udass hote khuda unki udassi khushi badle ameen,4
"Sabse Zyada Gussa Khud Par Tab Aata Hai, Jab Pyaar Bhi Hum Kare, Intezaar Bhi Hum Kare, Jataye Bhi Hum, Aur Roye Bhi Hum. 🙁💯",sabse zyada gussa khud tab aata jab pyaar kare intezaar kare jataye roye,2
"Kaise mujhe tum mil gai, kismat se mili meri khushi
BELOVED WINNERS TEJRAN",kaise mujhe tum kismat mili meri khushi beloved winners tejran,1
"Mil jati hai kitno ko khushi,
Mit jate hain kitno ke gum,
Message isliye bhejte hai hum,
Taki na milne se bhi apni dosti na ho kam.   ASLI WINNER UMAR RIAZ",kitno khushi mit jate kitno ke gum message isliye bhejte taki milne apni dosti kam asli winner umar riaz,4
"Kabhi Khushi Kabhi Gham. Chanyeol as SRK, Baekhyun as Kajol, Sehun as Kareena Kapoor and Jongin as Hrithik Roshan lmao",kabhi khushi kabhi gham chanyeol as srk baekhyun as kajol sehun as kareena kapoor and jongin as hrithik roshan lmao,2
"meri mummy ko mere introvert hone se bhi khushi nahi hai, ungrateful.",meri mummy mere introvert hone khushi nahi ungrateful,3
"Khushi ka pal kahan dundho bai nishan sa waqt b yahan hai 
janay kitnay labun pa gilay ha 
zindagi sa kahin faslay hain

BELOVED WINNERS TEJRAN",khushi pal kahan dundho bai nishan sa waqt b yahan janay kitnay labun pa gilay ha zindagi sa kahin faslay beloved winners tejran,1
"Bekhayali mein bhi tera hi khayal aaye
Kyun bichhadna hai zaroori ye sawaal aaye
Teri nazdeekiyon ki khushi behisaab thi
Hisse mein faasle bhi tere bemisaal aaye
BELOVED WINNERS TEJRAN",bekhayali mein tera khayal aaye kyun bichhadna zaroori ye sawaal aaye teri nazdeekiyon khushi behisaab hisse mein faasle tere bemisaal aaye beloved winners tejran,1
"Jo log khushi wale din 
bhi udass hote hain 
Khuda unki udassi ko 
khushi main badle
Ameen",log khushi wale din udass hote khuda unki udassi khushi badle ameen,4
"Chhoti si Hai Zindagi Khushi Se Jiyo..
Ghum Mein Kya Rakha Hai Maze Se Sar Utha ke Jiyo..
Udaasi Kya Cheez Hai Bas Muskura ke Jiyo..
Apne Lye Na Sahi Apno ke Liye Jiyo ...!!

BELOVED WINNERS TEJRAN",chhoti si zindagi khushi jiyo ghum mein rakha maze sar utha ke jiyo udaasi cheez bas muskura ke jiyo apne sahi apno ke jiyo beloved winners tejran,2
Khushi toh dekho chehre pe lag raha hai jaise diwali 1+1 offer pe ladies khush hote hai na waise hi khush horaha hai waise wahi horaha hai 😭🤣,khushi toh dekho chehre lag jaise diwali offer ladies khush hote waise khush horaha waise wahi horaha,3
har kaam ki wajah hona zrori hy kyaa koi kaam insan apni khushi k liye nai krskta kya??,har kaam wajah hona zrori kyaa kaam insan apni khushi k krskta,0
😭😭❤️❤️❤️aakhe. Bhar aati hai ..🥺🥺amma ❤️❤️❤️😭out of words bas 🥺bhagwan aapko har khushi de zindagi me ..,aakhe bhar aati amma out of words bas bhagwan aapko har khushi zindagi me,2
I am at a stage where “koi bhi cheez khushi nahi de rahi”,i am at a stage where cheez khushi nahi,3
"Aaj bhi Farah ki ranking pe gussa aata h mujhe... Usne iss season ki naiya duba di bilkul

KHAMBA PARTY WITH NISHANT",aaj farah ranking gussa aata h mujhe usne iss season naiya duba di bilkul khamba party with nishant,2
Logon ko khandani property milti hai or humein khandani gussa mila hai😂,logon khandani property milti or humein khandani gussa mila,2
"Mohabbat Unse Karo Jo Nibhana Jante Ho , Nafrat Unse Karo Jo Bhulana Jante Ho, Gussa Unse Karo Jo Manana Jante Ho, Dosti Unse Karo Jo Tumhe Hansana Jante Ho.                                         ASLI WINNER UMAR RIAZ",mohabbat unse karo nibhana jante nafrat unse karo bhulana jante gussa unse karo manana jante dosti unse karo tumhe hansana jante asli winner umar riaz,4
(during sex) meri ek taang nakli hai mai hockey ka bohot bada Khiladi tha ek din Uday bhai ko meri kisi baat ka gussa aagaya aur meri hi hockey se meri taang ke do tukde kar diye lekin Dil ke bohot acche hai  fauran mujhe hospital le gaye aur ye nakli taang lagwayi,during sex meri ek taang nakli mai hockey bohot bada khiladi ek din uday bhai meri kisi baat gussa aagaya meri hockey meri taang ke do tukde diye lekin dil ke bohot acche fauran mujhe hospital gaye ye nakli taang lagwayi,3
Mohabbat Unse Karo Jo Nibhana Jante Ho Nafrat Unse Karo Jo Bhulana Jante Ho Gussa Unse Karo Jo Manana Jante Ho Dosti Unse Karo Jo Tumhe Ha. ASLI WINNER UMAR RIAZ,mohabbat unse karo nibhana jante nafrat unse karo bhulana jante gussa unse karo manana jante dosti unse karo tumhe ha asli winner umar riaz,4
"Karan: humari ladai se intense humara pyaar hai. Jitna mera gussa hai usse kahi gunna zyaada mera pyaar hai uske liye.
BELOVED WINNERS TEJRAN",karan humari ladai intense humara pyaar jitna mera gussa usse kahi gunna zyaada mera pyaar uske beloved winners tejran,1
Tumhare cutiepies gussa he aao aur unhe manaoo😾,tumhare cutiepies gussa he aao unhe manaoo,2
merko gussa aur hassi dono aa rahi hain 😒😭😒😭😒😭😒😭😒😭😒😭😒😭,merko gussa hassi aa,2
Babar jaani gussa kerne se agar jeet jatay toh aaj me single na hoti.,babar jaani gussa kerne agar jeet jatay toh aaj me single hoti,2
"Guzar jayega ye daur bhi bhi
 'Ghalib' Zara Itminan to rakh,
Khushi hi na thahri toh gham ki Aukat Kya hai......?",guzar jayega ye daur ghalib zara itminan rakh khushi thahri toh gham aukat,3
"Duniya ko khushi chahiye🌻

Orr mujhe har khushi mein tu👀❤️
                            ...smjhii😩❤️🌎",duniya khushi chahiye orr mujhe har khushi mein smjhii,3
"- Janne dijiye usse aaj ,uski khushi sirf aur sirf fateh mein hai, le lene dijiye usse apne pyaar ki udaariyaan

Tejo aur buzzo bahar pahuchte hai ,amrik aur mahi Tejo ko dekh khush ho jate hai.
Amrik - chalo ab jaldi chalo, fateh veera ko surprise dena hai
FATEJO KA ISHQ",janne dijiye usse aaj khushi sirf sirf fateh mein lene dijiye usse apne pyaar udaariyaan tejo buzzo bahar pahuchte amrik mahi tejo dekh khush jate amrik chalo jaldi chalo fateh veera surprise dena fatejo ishq,3
"-Buzzo sabki khushi ismein hai , Fateh aur meri qismat sath hi nahi likhi hai
Buzzo ko gussa aa jata hai aur woh khada ho kar apna shehra phek kar bolta hai
- Kaise nahi likhi aap dono ki qismat sath mein, qismat ne hi do aap dono ko sath lia, do dilo ko joda hai

FATEJO KA ISHQ",buzzo sabki khushi ismein fateh meri qismat sath nahi likhi buzzo gussa aa khada apna shehra phek bolta kaise nahi likhi aap qismat sath mein qismat do aap sath lia do dilo joda fatejo ishq,3
"1079 dusro ke khushi me khush hona chahiye 

ASLI WINNER UMAR RIAZ",dusro ke khushi me khush hona chahiye asli winner umar riaz,4
"khushi deke tumko ghum udhaar liya
tum se bhi jyada tum se pyaar kiya 🥺💔",khushi deke tumko ghum udhaar liya tum jyada tum pyaar kiya,3
"Tu hi bata kaun tu hai mera
Kabse se tu dil mein rehta hai kya pata
Kyun laage mujhe tere bin zindagi ek pal bhi kabhi payegi na khushi
BELOVED WINNERS TEJRAN",bata kaun mera kabse dil mein rehta pata kyun laage mujhe tere bin zindagi ek pal kabhi payegi khushi beloved winners tejran,1
Kisi ki khushi mai khush rahny ka bi apna he swag hai,kisi khushi mai khush rahny bi apna he swag,0
"Pyar ki har rasam nibhai thi maine,
Tumhe paane ke liye har kashti dubai thi maine,
Tumne kadar na jaani meri wafaon ki,
Tumhari chahat mein har khushi lutai thi maine…

ASLI WINNER UMAR RIAZ",pyar har rasam nibhai maine tumhe paane ke har kashti dubai maine tumne kadar jaani meri wafaon tumhari chahat mein har khushi lutai maine asli winner umar riaz,4
"Sab ka vul Gaye aj udhar umar ko top 2 mein hona chahiye tha....kaha gaya Sara gussa
ASLI WINNER UMAR RIAZ",sab vul gaye aj udhar umar top mein hona chahiye kaha sara gussa asli winner umar riaz,4
"Kabi kuch pal meri khushi ke liye v gujaro,
Ho sake to kisi ache se ladke se shadi kar dalo,
Tumari shadi se muje bahut sakun pahunchega,

ASLI WINNER UMAR RIAZ",kabi pal meri khushi ke v gujaro sake kisi ache ladke shadi dalo tumari shadi muje bahut sakun pahunchega asli winner umar riaz,4
Kya mill gaye tumko khushi ho k judaa ya tou bolo.,mill gaye tumko khushi k judaa bolo,3
"Dukhaun mai dil jaate jaate tera
Mera aisa koyi irada nhi
Chupa loonga mai hans ke aansu mere
Yeh teri khushi se zyada nahi
Jo bichde nahi toh phir kya maza
Zaroori hai rehni bhi thodi kami
Nhi hoga kuch bhi khatm
Phir mulaaqat hogi kabhi
Juda ho rahe hain kadam
Phir mulaaqat..😌",dukhaun mai dil jaate jaate tera mera aisa koyi irada nhi chupa loonga mai hans ke aansu mere teri khushi zyada nahi bichde nahi toh phir maza zaroori rehni thodi kami nhi hoga khatm phir mulaaqat hogi kabhi juda rahe kadam phir mulaaqat,3
Aaj India tv ke chunav manch program mei Rakesh dakait ji kishano ka thakathit leader bana hua hai  usne ram mandir ka ghor virodh kiya hai ..back screen per ram mandir ki photo chal rahi thee usko lagane per usne bhut jordar tarike se apna gussa pargat kiya ...ab aap soch lo .,aaj india tv ke chunav manch program mei rakesh dakait ji kishano thakathit leader bana hua usne ram mandir ghor virodh kiya back screen per ram mandir thee usko lagane per usne bhut jordar tarike apna gussa pargat kiya aap soch lo,2
"Pushpa -- मैं झुकेगा नहीं 🙅

Collage-- मैं खुलेगा नहीं 🏫

Student -- मैं पढ़ेगा नहीं🧑‍💻
 
Crush -- मैं पटेगी नहीं 💔

Khushi -- मैं आएगा नहीं🤐

Problems -- मैं जाएगा नहीं 🥵

हम करे तो क्या करे 😰😰",pushpa collage student crush khushi problems,3
"Others: Naa tera aane ka khushi tha naa tere jane ka gaam tha

Me: Naa koi aa raha hein naa koi jaa raha hein akela hi bhatak raha huu yaha waha kyuki bhagwan ne shakal thik se nahi banaya😭",others naa tera aane khushi naa tere jane gaam me naa aa hein naa jaa hein akela bhatak huu yaha waha kyuki bhagwan shakal thik nahi banaya,3
"Gam hai khushi hai..
ASLI WINNER UMAR RIAZ",gam khushi asli winner umar riaz,4
"Promo dekhne ke badh kise khushi aur ronaa aya?

BELOVED WINNERS TEJRAN",promo dekhne ke badh kise khushi ronaa aya beloved winners tejran,1
Bhai koi iski shoe-tiyapanti aur you-tiyapanti bnd krvaoo yrrr😭😭😭😂🤣,bhai iski shoe tiyapanti tiyapanti bnd krvaoo yrrr,3
".

Tum Meri Wo Khushi Ho
Jo Mai Kisi Or Ko Na Du.💛
.
.",tum meri khushi mai kisi or du,0
"Meri hansi tujhse
Meri khushi tujhse
Tujhe khabar kya be-qadar
BELOVED WINNERS TEJRAN",meri hansi tujhse meri khushi tujhse tujhe khabar be qadar beloved winners tejran,1
"Kaanto ke Badle Phool Kya doge..?
Aaanshu ke Badle Khushi kya dooge..?
Hum chahte hain aapde umar bhar Dosti..
Hamare iss Sawal la Jawab kya Doge…?.

ASLI WINNER UMAR RIAZ",kaanto ke badle phool doge aaanshu ke badle khushi dooge chahte aapde umar bhar dosti hamare iss sawal la jawab doge asli winner umar riaz,4
"Tu  khush hai to lage jaha me chhai hai khushi

ASLI WINNER UMAR RIAZ",khush lage jaha me chhai khushi asli winner umar riaz,4
"Dheere Dheere Dil se ab tere pyaar ka dard kam hua…
Na tere aane ki khushi hui aur na jaane ka gam hua..
Jab log mujhse poochate hain hamaare pyar ki daastaan..
Main kah deta hoon ki ek fasaana tha jo ab khatm hua..

ASLI WINNER UMAR RIAZ",dheere dheere dil tere pyaar dard kam hua tere aane khushi jaane gam hua jab log mujhse poochate hamaare pyar daastaan kah deta hoon ek fasaana khatm hua asli winner umar riaz,4
"wo kaun hai, duniya meiN jise, gam nahiN hota
kis ghar meiN khushi hoti hai, maatam nahiN hota
aise bhi haiN, duniya meiN jinheiN, gam nahiN hota
ek hum haiN hamaara, kabhi kam nahiN hota
kya surmaa bhari, aankhoN se, aansoo nahiN girte
kya mehandi 

ASLI WINNER UMAR RIAZ",kaun duniya mein jise gam nahin ghar mein khushi hoti maatam nahin aise duniya mein jinhein gam nahin ek hamaara kabhi kam nahin surmaa bhari aankhon aansoo nahin girte mehandi asli winner umar riaz,4
"Kabhi kabhi toh lage jindagi me rahe na  khushi

ASLI WINNER UMAR RIAZ",kabhi kabhi toh lage jindagi me rahe khushi asli winner umar riaz,4
Jo many ga woh Khushi se pink ho Jai ga,many khushi pink jai,3
"Kabhi khushi kabhi gum
ASLI WINNER UMAR RIAZ",kabhi khushi kabhi gum asli winner umar riaz,4
"Duao ki bheed mein ek dua hamari
jis mein maangi hai humne har khushi tumhari
jab bhi aap muskuraaye dil se
samjho dua kabool hui hamari

ASLI WINNER UMAR RIAZ",duao bheed mein ek dua hamari jis mein maangi humne har khushi tumhari jab aap muskuraaye dil samjho dua kabool hamari asli winner umar riaz,4
"Kismat pe aitbar kisko hai,
Mil jaye aap ka pyar iss khushi se inkar kisko hai.
Zindgi main kuchh majburian hain dost,
Warna judai se pyar kiso hai.

ASLI WINNER UMAR RIAZ",kismat aitbar kisko jaye aap pyar iss khushi inkar kisko zindgi kuchh majburian dost warna judai pyar kiso asli winner umar riaz,4
"Chahat hai tu meri teri chahat main karta hu
tu hai meri pyar ki nashani ibadat main
dhadkano se kartahu waqt ke is pher badal
me sawal main apni kismat se karta hu
bat gaye mere hasse ki khushi apne chahat ke waste main phariyad karta hu….

ASLI WINNER UMAR RIAZ",chahat meri teri chahat karta hu meri pyar nashani ibadat dhadkano kartahu waqt ke pher badal me sawal apni kismat karta hu bat gaye mere hasse khushi apne chahat ke waste phariyad karta hu asli winner umar riaz,4
"Tum mile har khushi mil gayi hai hame,
Lagta hai ki dusri zindgi mil gayi hai hame.
Zindgi me Jiska tha saalo se intezar hame,
Jeevan ka saathi bina maange mil gaya hame..

ASLI WINNER UMAR RIAZ",tum mile har khushi gayi hame lagta dusri zindgi gayi hame zindgi me jiska saalo intezar hame jeevan saathi bina maange hame asli winner umar riaz,4
Mujhe Sabse Jyada Gussa Kab Aata Hai : Jab Tehri Khaane Ka Man Ho Aur Koi Khichdi Le Aaye,mujhe sabse jyada gussa kab aata jab tehri khaane man khichdi aaye,2
Na Kujh kahenga na h kujh bataengy bs door se dekhengy aur door se muskuraengy hum tou apse ziyada apki khushi chahty hein agr apki khushi hamary dard mein h tou hum khushi khushi mar he jaengy ❤️,kujh kahenga h kujh bataengy bs door dekhengy door muskuraengy apse ziyada apki khushi chahty hein agr apki khushi hamary dard mein h khushi khushi mar he jaengy,3
"Meri hansi tujhse

Meri khushi tujhse

Tujhe khabar kya be-qadar

BELOVED WINNERS TEJRAN",meri hansi tujhse meri khushi tujhse tujhe khabar be qadar beloved winners tejran,1
"Gham nahi wahan jahan ho fasana aapka
Khushi bhi dhundhti hai har pal fasana aapka,
Aap udaas na hona kabhi zindagi mai,
Bohot achha lagta hai hame muskurana aapka…!

ASLI WINNER UMAR RIAZ",gham nahi wahan jahan fasana aapka khushi dhundhti har pal fasana aapka aap udaas hona kabhi zindagi mai bohot achha lagta hame muskurana aapka asli winner umar riaz,4
"This song really holds a special place in our hearts

Sukoon Hai Hawa Mein
Sukoon Hai Fiza Mein
Zarooratein Bann Gayi Hai
Har Raahatein Mili Hai..
Tu Mile Na Mile Mil Gayi Hai
Zindagi Ki Khushi Bann Gayi Hai...

BELOVED WINNERS TEJRAN",this song really holds a special place in our hearts sukoon hawa mein sukoon fiza mein zarooratein bann gayi har raahatein mili mile mile gayi zindagi khushi bann gayi beloved winners tejran,1
"ab khushi de ke azmaa le khuda
in ghamon se toh main nahi marta",khushi ke azmaa khuda in ghamon toh nahi marta,3
"Ladai ke promo to pehle nikalte hai tejran ke aur ab dance romance ki bari ayi to pehle chappal goal ka promo kat diya itna gussa hai na,pata nahi kiske utaru
BELOVED WINNERS TEJRAN",ladai ke promo pehle nikalte tejran ke dance romance bari pehle chappal goal promo kat diya itna gussa pata nahi kiske utaru beloved winners tejran,1
"Guzar jaye ga ye dour bhi ghalib

Zara itminaan to rakho! 

Khushi na thehri tou gham ki kya auqaat hai

Mirza Ghalib~",guzar jaye ye dour ghalib zara itminaan rakho khushi thehri gham auqaat mirza ghalib,3
"Ye to hota rahy ga zindagi hai,
Kabhi khushi kabhi ghum...!✨💯",ye rahy zindagi kabhi khushi kabhi ghum,2
"LQ har rha hai no worries
But KK ka haal hum se bhi zada kharab hai ye dekh k dukh or khushi dono hi bohat hain",lq har no worries but kk haal zada kharab ye dekh k dukh or khushi bohat,0
"Kk - ""Bohot weak moments mein humne apne aap ko bahar nikala hai yeh sochte hue ki aap log hai""!!
'Hamari khushi m aap khush hue... Hamare dukh main aap dukhi hue....'

BELOVED WINNERS TEJRAN",kk bohot weak moments mein humne apne aap bahar nikala sochte hue aap log hamari khushi m aap khush hue hamare dukh aap dukhi hue beloved winners tejran,0
"Kamjori Hoti Hai Kuch Ladkiyon ki, 
Jaha Gussa Aana Chahiye Waha Aansu Aajatey Hai...🥀💯",kamjori hoti ladkiyon jaha gussa aana chahiye waha aansu aajatey,3
"Usne kaha tha 11:11 PM me wish mangne se puri hoti hai
Mai aaj bhi uske chehre per khushi mangta hu💔🥺",usne kaha pm me wish mangne puri hoti mai aaj uske chehre per khushi mangta hu,3
Ek din khushi milti h to mahino tak us khushi ka karZ chukana pdta hai !!,ek din khushi milti h mahino tak khushi karz chukana pdta,3
"Ruth jaana tera, maan jaana mera
Dhoondh te teri hasi
Mil gayi meri khushi... 

Raah hoon mein teri
Tu hai tu meri
Dhoondh te tere nishaan
Mil gayi khudi...",ruth jaana tera maan jaana mera dhoondh te teri hasi gayi meri khushi raah hoon mein teri meri dhoondh te tere nishaan gayi khudi,2
"Ab Bikhri Teri Ye Zulfon Se
Ankhain Teri Jab Dikhti Hain
Dikhta Hai Mujhe Wo Aasman

BELOVED WINNERS TEJRAN",bikhri teri ye zulfon ankhain teri jab dikhti dikhta mujhe aasman beloved winners tejran,1
"Ab Tere Bina Yahan Meri Saansain
Jaise Bina Nindiya Ki Raatain Hain Toh
Aur Tu Hi Mere Dil Ki Raza Hai
Tere Bina Dil Bhi Khafa Hai Toh

BELOVED WINNERS TEJRAN",tere bina yahan meri saansain jaise bina nindiya raatain toh mere dil raza tere bina dil khafa toh beloved winners tejran,1
"Jab Baarishein Barasti Hain
Pagal Jaise Thirakti Hain
Tum Jaisi Ho
Bus Wesi Hi Raho

BELOVED WINNERS TEJRAN",jab baarishein barasti pagal jaise thirakti tum jaisi bus wesi raho beloved winners tejran,1
